"order","extinction","ext.var","ext.median","origination","ori.var","ori.median","diversification","div.var","div.median","birth","birth.var","birth.median","death","death.var","death.median","duration","dur.var","dur.median","Nocc","Ngen","first_app_max","first_app_mean","q_rate","group"
"Artiodactyla",0.000966217525874673,8.45424750169947e-05,4.98057015920672e-05,0.0310777460298182,0.00289777603086388,0.0179596345032894,0.0301115285039435,0.00298743944454384,0.0176180663847431,320.68,191.977142857143,322,0,0,0,312.65705967212,159.058936794051,315.925514043897,24593,753,239.5,282.55,9.45041617427628,"Mammals"
"Carnivora",0.00537805411776264,0.00164600820274475,6.74006421956705e-05,0.0982597858638249,0.0277490344570129,0.063521589669842,0.0928817317460623,0.0294374916630357,0.0633849203290558,137.98,1293.20367346939,130.5,0,0,0,113.550454689224,1179.83560430694,106.540478099704,15304,608,61.7,62.5,7.99538583822885,"Mammals"
"Cetacea",0.00425485774719811,0.00125033693633778,8.8468789248823e-05,0.14475549604568,0.0857967760304223,0.0662656898911693,0.140500638298482,0.0871509406915737,0.0660865618295402,119.68,943.12,117,0,0,0,89.9745421254845,620.174380810984,84.215730191218,2868,404,47.8,51.9,1.06041599875134,"Mammals"
"Chiroptera",0.0170129866446135,0.00869558668200652,0.000544781619299303,0.334851817995907,0.413326377518624,0.0290565787612991,0.317838831351294,0.425385142111934,0.0274667042945943,97.58,835.962857142857,89,0,0,0,71.7164737774955,378.045344041084,63.091578055469,1464,140,55.8,56.3,2.74060747460094,"Mammals"
"Cingulata",0.00256132182010206,0.00042502650851224,0.000699713921542966,0.0540607463457197,0.00908901222052731,0.0572975753756359,0.0514994245256176,0.00949794134728638,0.0548690616102278,227.8,1194.61224489796,222.5,0,0,0,189.652539606452,721.110285753779,183.599399789539,645,85,145,173.15,3.13106781431378,"Mammals"
"Erinaceomorpha",0.00191098625184301,0.00047361139166156,0.00118714858674589,0.350117494192321,0.482388064203434,0.0268272179977171,0.348206507940478,0.482459317566999,0.0254957078197013,81.92,288.197551020408,78,0,0,0,65.0255494510473,2.96963782296941,64.6759457736767,632,59,56.8,59.25,1.30304594362478,"Mammals"
"Hyracoidea",0.00572356112309914,0.000806130144275331,0.00132722828298948,0.295170254624264,0.312018041428606,0.0253799368080032,0.289446693501164,0.313972175911868,0.023364142261951,75.06,51.3636734693878,73.5,0,0,0,57.4323126979899,1.13261999833131,57.4075062368382,353,28,47.8,51.9,4.13368860144656,"Mammals"
"Lagomorpha",0.00633021661871704,0.00125712639923777,0.000560501415386918,0.20924428393362,0.152675767830807,0.0854209833297788,0.202914067314903,0.154897790268286,0.0843157510122937,73,38.6530612244898,71.5,0,0,0,52.1528467684111,3.42553987513251,51.5646091777418,3661,77,40.4,43.3,9.05249892479977,"Mammals"
"Macroscelidea",0.00252073104405288,0.00017446282752652,0.000371233479777825,0.266433018509507,0.301046782444349,0.00876997537369676,0.263912287465454,0.30217308569091,0.00818865823151036,86.12,86.8832653061225,84.5,0,0,0,68.365973987413,0.687020596513859,68.3241278316364,1032,47,63.3,64.65,1.75214278521381,"Mammals"
"Perissodactyla",0.00222742992068202,0.00105153514604588,7.07987887972434e-05,0.227163519253205,0.115722044856397,0.0309786893504434,0.224936089332523,0.116642393597475,0.0300652551952795,102.08,1145.58530612245,97,0,0,0,73.1760056650195,423.850344581617,68.1379702431066,14148,307,61.7,62.5,15.9326530548356,"Mammals"
"Pilosa",0.00525724865137046,0.00102686352910029,0.00105432656409625,0.104020260390414,0.0202177242046898,0.0800441503129119,0.0987630117390436,0.0213483830145307,0.0779194170028519,89.7,189.15306122449,86,0,0,0,62.0638801092128,21.1972798453801,61.2546743770952,645,78,50.3,53.05,4.05624243261794,"Mammals"
"Primates",0.00274552345832522,0.000859728594635641,5.89994591805437e-05,0.0815750685374857,0.0453054212039071,0.0271844497640962,0.0788295450791604,0.0460337272941187,0.0265803808673587,175.82,1195.53836734694,170.5,0,0,0,147.973624586409,1154.84101006026,145.197483101799,5005,346,63.3,64.65,3.80632790375898,"Mammals"
"Proboscidea",0.00367946075590769,0.00118963397197288,0.00176482391821519,0.16355853209855,0.107250953654847,0.0530814039421807,0.159879071342643,0.107442615660872,0.0508233546661007,80.12,26.7608163265306,79,0,0,0,62.9389805461549,3.13939697339016,62.6539941863803,4894,66,56,58.65,9.63497599503176,"Mammals"
